Frame,K0_x,K0_y,K0_z,K0_visibility,K1_x,K1_y,K1_z,K1_visibility,K2_x,K2_y,K2_z,K2_visibility,K3_x,K3_y,K3_z,K3_visibility,K4_x,K4_y,K4_z,K4_visibility,K5_x,K5_y,K5_z,K5_visibility,K6_x,K6_y,K6_z,K6_visibility,K7_x,K7_y,K7_z,K7_visibility,K8_x,K8_y,K8_z,K8_visibility,K9_x,K9_y,K9_z,K9_visibility,K10_x,K10_y,K10_z,K10_visibility,K11_x,K11_y,K11_z,K11_visibility,K12_x,K12_y,K12_z,K12_visibility,K13_x,K13_y,K13_z,K13_visibility,K14_x,K14_y,K14_z,K14_visibility,K15_x,K15_y,K15_z,K15_visibility,K16_x,K16_y,K16_z,K16_visibility,K17_x,K17_y,K17_z,K17_visibility,K18_x,K18_y,K18_z,K18_visibility,K19_x,K19_y,K19_z,K19_visibility,K20_x,K20_y,K20_z,K20_visibility,K21_x,K21_y,K21_z,K21_visibility,K22_x,K22_y,K22_z,K22_visibility,K23_x,K23_y,K23_z,K23_visibility,K24_x,K24_y,K24_z,K24_visibility,K25_x,K25_y,K25_z,K25_visibility,K26_x,K26_y,K26_z,K26_visibility,K27_x,K27_y,K27_z,K27_visibility,K28_x,K28_y,K28_z,K28_visibility,K29_x,K29_y,K29_z,K29_visibility,K30_x,K30_y,K30_z,K30_visibility,K31_x,K31_y,K31_z,K31_visibility,K32_x,K32_y,K32_z,K32_visibility
0,0.42893993854522705,0.12074154615402222,-0.3878862261772156,0.9999731779098511,0.4513552784919739,0.10345232486724854,-0.4363226592540741,0.9999692440032959,0.4603748619556427,0.10304412990808487,-0.4363641142845154,0.9999710321426392,0.47003915905952454,0.10278469324111938,-0.43652039766311646,0.9999785423278809,0.4389393627643585,0.10358443111181259,-0.36181995272636414,0.9999614953994751,0.4383505582809448,0.1030728816986084,-0.3618079423904419,0.9999557733535767,0.4379720985889435,0.10247915983200073,-0.3620312213897705,0.9999643564224243,0.5139884948730469,0.10969394445419312,-0.5342117547988892,0.9999828338623047,0.4855134189128876,0.10846302658319473,-0.21327580511569977,0.9999659061431885,0.4505864977836609,0.13960853219032288,-0.4151690900325775,0.9999818801879883,0.4370422661304474,0.13926482200622559,-0.3212985694408417,0.9999659061431885,0.5884544253349304,0.21042487025260925,-0.6751322150230408,0.9999806880950928,0.5301759839057922,0.21926966309547424,0.06604567915201187,0.9994322657585144,0.5574679374694824,0.3729568123817444,-0.6524481177330017,0.996170699596405,0.5153161883354187,0.3601917326450348,0.1869669407606125,0.14840085804462433,0.5143671035766602,0.5189203023910522,-0.5183840394020081,0.9851126074790955,0.48508334159851074,0.4795704483985901,0.1155301108956337,0.11871813237667084,0.5291154384613037,0.554694414138794,-0.5886719822883606,0.9683042168617249,0.4715830385684967,0.5088092684745789,0.12329353392124176,0.10974828153848648,0.5081982016563416,0.5541768074035645,-0.5885927081108093,0.966020941734314,0.46928951144218445,0.5084089636802673,0.04503617435693741,0.1099911704659462,0.5015012621879578,0.5417865514755249,-0.5113584399223328,0.9567193388938904,0.4697066843509674,0.5070279836654663,0.08116331696510315,0.11820460110902786,0.546271800994873,0.46872884035110474,-0.2095324695110321,0.9993554949760437,0.5278369784355164,0.4690437912940979,0.20945097506046295,0.9979225993156433,0.4753172695636749,0.6550801396369934,-0.11606678366661072,0.8849450945854187,0.4993993937969208,0.6397236585617065,0.33973488211631775,0.24743813276290894,0.5058847069740295,0.8342547416687012,0.06599373370409012,0.8295630812644958,0.5296016931533813,0.7845696210861206,0.5812625885009766,0.29556432366371155,0.5345318913459778,0.8551889657974243,0.0692637637257576,0.9016363024711609,0.5422417521476746,0.8356019258499146,0.5963100790977478,0.46492353081703186,0.3839524984359741,0.8565739393234253,-0.12400583922863007,0.8086044192314148,0.3975764513015747,0.8145642280578613,0.46319442987442017,0.46833914518356323
1,0.42283397912979126,0.12082631886005402,-0.3306443393230438,0.9999717473983765,0.44674152135849,0.10386024415493011,-0.39154481887817383,0.9999670386314392,0.455441951751709,0.10344094038009644,-0.3915647864341736,0.9999693632125854,0.4647024869918823,0.10315480083227158,-0.3916025757789612,0.999977171421051,0.4358934164047241,0.10392104089260101,-0.3077716529369354,0.9999574422836304,0.43603160977363586,0.10335780680179596,-0.30772656202316284,0.999950647354126,0.4364875853061676,0.10274551808834076,-0.30780190229415894,0.999959409236908,0.509026288986206,0.11035879701375961,-0.5258901119232178,0.9999814629554749,0.48401400446891785,0.108840212225914,-0.16091862320899963,0.9999560713768005,0.44609951972961426,0.13958337903022766,-0.3685634732246399,0.9999803304672241,0.43285924196243286,0.1392483115196228,-0.26140648126602173,0.9999616742134094,0.5866774916648865,0.20906226336956024,-0.6780826449394226,0.9999821782112122,0.5432339906692505,0.21770314872264862,0.1447736620903015,0.9994344711303711,0.5576690435409546,0.36880165338516235,-0.6914417743682861,0.9963110685348511,0.5221720337867737,0.3625226616859436,0.28938353061676025,0.1412844955921173,0.5091202259063721,0.5148758292198181,-0.5921121835708618,0.9859756231307983,0.4849950075149536,0.48410171270370483,0.22819480299949646,0.11972279846668243,0.5205296277999878,0.5513545274734497,-0.6586230993270874,0.9699947834014893,0.47157901525497437,0.5193790197372437,0.24190978705883026,0.11172160506248474,0.5021717548370361,0.5525152683258057,-0.6572428345680237,0.9678670167922974,0.471718430519104,0.5201876163482666,0.1611911505460739,0.1121957004070282,0.4962139427661896,0.539697527885437,-0.5826754570007324,0.9586415886878967,0.47288787364959717,0.5100058913230896,0.1920967996120453,0.12027154862880707,0.5358197093009949,0.470960795879364,-0.23617100715637207,0.9993821382522583,0.5276845097541809,0.47164732217788696,0.23552663624286652,0.9979933500289917,0.5050212740898132,0.6548330187797546,-0.13502679765224457,0.8894469141960144,0.4995664358139038,0.6404531002044678,0.3426588177680969,0.2704874277114868,0.5153318047523499,0.8396924734115601,0.016474369913339615,0.8431967496871948,0.5101589560508728,0.8117150068283081,0.5517809391021729,0.32786837220191956,0.5633821487426758,0.866449236869812,0.017261167988181114,0.9049078226089478,0.5479241013526917,0.8502228856086731,0.5621567368507385,0.48145410418510437,0.39047762751579285,0.871899425983429,-0.20549774169921875,0.8244240880012512,0.4016367197036743,0.8458701968193054,0.4315497577190399,0.5003833770751953
2,0.4206776022911072,0.12078877538442612,-0.3163062334060669,0.9999709725379944,0.44477060437202454,0.10395302623510361,-0.37920090556144714,0.9999659061431885,0.4532211422920227,0.10355080664157867,-0.37922996282577515,0.9999686479568481,0.46229302883148193,0.10325493663549423,-0.37926456332206726,0.9999765157699585,0.43499845266342163,0.10394944250583649,-0.2938914895057678,0.9999545812606812,0.4355725049972534,0.10337267816066742,-0.2938389182090759,0.9999469518661499,0.4364064037799835,0.10275069624185562,-0.29389435052871704,0.9999556541442871,0.5073052048683167,0.11042676120996475,-0.5249337553977966,0.9999806880950928,0.48392486572265625,0.10884002596139908,-0.15228679776191711,0.9999484419822693,0.4450695514678955,0.13956168293952942,-0.358353853225708,0.9999794363975525,0.4322211742401123,0.13919134438037872,-0.24935366213321686,0.9999584555625916,0.5867200493812561,0.20846843719482422,-0.6818161010742188,0.9999836087226868,0.5456266403198242,0.2169436514377594,0.14292220771312714,0.9994369149208069,0.5587834119796753,0.36505013704299927,-0.7018701434135437,0.9964818954467773,0.5219194889068604,0.3625005781650543,0.29370152950286865,0.13483896851539612,0.5076023936271667,0.5103418231010437,-0.611241340637207,0.9868530631065369,0.48443666100502014,0.48460397124290466,0.2385045737028122,0.11930716782808304,0.5177721977233887,0.5476135015487671,-0.6789247989654541,0.9716976284980774,0.4713868498802185,0.5227123498916626,0.2532065808773041,0.11218181997537613,0.49973708391189575,0.5491030812263489,-0.6777337193489075,0.9697232842445374,0.4719328284263611,0.5228966474533081,0.17044739425182343,0.11289136856794357,0.49426788091659546,0.5360103249549866,-0.6016616225242615,0.9606726765632629,0.473633348941803,0.5106393098831177,0.20181243121623993,0.12082008272409439,0.5322978496551514,0.4714442789554596,-0.23675070703029633,0.9994052648544312,0.5209341049194336,0.4717771112918854,0.23610791563987732,0.9980583190917969,0.517137885093689,0.6539865732192993,-0.13751846551895142,0.892208456993103,0.49298709630966187,0.6408461332321167,0.3383176922798157,0.2876054644584656,0.5186918377876282,0.8406549692153931,0.014074288308620453,0.8545984029769897,0.49785324931144714,0.8164423108100891,0.5386123061180115,0.3525255620479584,0.5708757042884827,0.868504524230957,0.014933359809219837,0.9070181250572205,0.5477501153945923,0.8504921197891235,0.5486565232276917,0.49209046363830566,0.39833080768585205,0.8777664303779602,-0.21069465577602386,0.8379817008972168,0.4016624391078949,0.8520914912223816,0.4118560254573822,0.5262215733528137
3,0.4206264913082123,0.12144128978252411,-0.33010411262512207,0.9999694228172302,0.44460710883140564,0.10438717901706696,-0.3797425925731659,0.9999639391899109,0.45297643542289734,0.10408654063940048,-0.37978485226631165,0.9999672770500183,0.4619302451610565,0.10387925803661346,-0.37992098927497864,0.9999753832817078,0.43488866090774536,0.10434985160827637,-0.30496665835380554,0.9999507069587708,0.4355016350746155,0.103838250041008,-0.3049353063106537,0.9999421834945679,0.4363912343978882,0.10328489542007446,-0.30511873960494995,0.9999508261680603,0.5070301294326782,0.1106470450758934,-0.5462744235992432,0.9999796152114868,0.4837888181209564,0.10899001359939575,-0.1608048379421234,0.9999394416809082,0.4451417624950409,0.1400473564863205,-0.3619850277900696,0.9999780058860779,0.43228620290756226,0.13970161974430084,-0.2639907896518707,0.9999537467956543,0.5873594284057617,0.2082546502351761,-0.6993998289108276,0.9999848008155823,0.5451744794845581,0.2167668342590332,0.12655924260616302,0.999428391456604,0.5596741437911987,0.36436790227890015,-0.7175083756446838,0.9966161847114563,0.520048975944519,0.3626595139503479,0.27521365880966187,0.128851056098938,0.5077155232429504,0.5093560218811035,-0.6279931664466858,0.9875681400299072,0.4826507568359375,0.48492732644081116,0.22129033505916595,0.11806502938270569,0.5181722044944763,0.5473077893257141,-0.6969987750053406,0.9730533957481384,0.4703676998615265,0.5240725874900818,0.23541881144046783,0.11166564375162125,0.4998463988304138,0.5486324429512024,-0.6961747407913208,0.9712041020393372,0.47189876437187195,0.5241332650184631,0.15216462314128876,0.1125754863023758,0.49432674050331116,0.5352314114570618,-0.6186853647232056,0.9622142314910889,0.47374385595321655,0.5111668705940247,0.1845383495092392,0.12046097218990326,0.5329137444496155,0.47290077805519104,-0.23431985080242157,0.9994150996208191,0.5164205431938171,0.47350287437438965,0.23374786972999573,0.9980805516242981,0.5246267318725586,0.6543406844139099,-0.13569705188274384,0.8950960040092468,0.49220767617225647,0.6417819261550903,0.3372824490070343,0.30287405848503113,0.5223666429519653,0.8421001434326172,0.022884154692292213,0.8643578290939331,0.4977159798145294,0.819976806640625,0.5379681587219238,0.3729841411113739,0.5702756643295288,0.869292140007019,0.024444706737995148,0.9068922400474548,0.5476033687591553,0.8511196374893188,0.5484534502029419,0.4987514019012451,0.403365820646286,0.8790600895881653,-0.198798269033432,0.8493853211402893,0.40083351731300354,0.8520046472549438,0.4104785621166229,0.5471383929252625
4,0.42077767848968506,0.12266900390386581,-0.39056238532066345,0.9999669194221497,0.44492921233177185,0.10492219775915146,-0.44475775957107544,0.9999602437019348,0.4534495770931244,0.10469876229763031,-0.44482943415641785,0.9999644756317139,0.46259167790412903,0.10454318672418594,-0.444936066865921,0.9999732375144958,0.4348617494106293,0.10494061559438705,-0.36653536558151245,0.9999447464942932,0.4352816641330719,0.10452703386545181,-0.3664841651916504,0.9999340176582336,0.4359073340892792,0.10412590205669403,-0.3665396273136139,0.9999423623085022,0.5075945258140564,0.11086653172969818,-0.5561635494232178,0.999977707862854,0.48176857829093933,0.10934275388717651,-0.18991851806640625,0.9999235272407532,0.44686415791511536,0.1411290466785431,-0.4103763997554779,0.9999756813049316,0.43262600898742676,0.14065910875797272,-0.30951207876205444,0.9999463558197021,0.5886232256889343,0.2081984579563141,-0.7001957893371582,0.9999857544898987,0.5428891777992249,0.2167622298002243,0.12042786180973053,0.9994199872016907,0.560856282711029,0.3647511601448059,-0.7198504209518433,0.99668288230896,0.5127965211868286,0.3638624846935272,0.2622185945510864,0.12464454770088196,0.5072078704833984,0.5087034106254578,-0.6302847266197205,0.9881758093833923,0.47135642170906067,0.48562899231910706,0.2028471827507019,0.11999085545539856,0.5175880789756775,0.5460406541824341,-0.6981261372566223,0.9742534756660461,0.46238207817077637,0.524511456489563,0.21759207546710968,0.11421136558055878,0.49865439534187317,0.5468257069587708,-0.7024152278900146,0.9725233912467957,0.4655156135559082,0.5240813493728638,0.13635265827178955,0.11541314423084259,0.49309948086738586,0.5332360863685608,-0.6227935552597046,0.9636409878730774,0.46895259618759155,0.5112420320510864,0.16731595993041992,0.12347216159105301,0.5342531204223633,0.474048376083374,-0.2330649048089981,0.9994233250617981,0.5050499439239502,0.47558268904685974,0.2326037585735321,0.9981048107147217,0.5300107002258301,0.6546157598495483,-0.1359991878271103,0.8953084945678711,0.4779207408428192,0.6429329514503479,0.32767271995544434,0.3197771906852722,0.5263692140579224,0.8429789543151855,0.019335884600877762,0.8717359900474548,0.49283266067504883,0.820046067237854,0.5142900347709656,0.3923203945159912,0.5805701613426208,0.8713221549987793,0.019858649000525475,0.902983546257019,0.5471925735473633,0.8512971997261047,0.5233134627342224,0.5039692521095276,0.40572959184646606,0.8797460794448853,-0.2180091291666031,0.8587498664855957,0.3995296061038971,0.8521699905395508,0.3820943534374237,0.5666164755821228
5,0.42088401317596436,0.12399312108755112,-0.3925928473472595,0.99996417760849,0.445077121257782,0.10541635751724243,-0.44980332255363464,0.9999567866325378,0.45370936393737793,0.10516665130853653,-0.4498593509197235,0.9999616742134094,0.46287262439727783,0.10500367730855942,-0.44995617866516113,0.9999710917472839,0.43486735224723816,0.10554991662502289,-0.36948779225349426,0.9999392628669739,0.4352359473705292,0.10515503585338593,-0.3694525361061096,0.9999269247055054,0.4358229637145996,0.10479320585727692,-0.36951568722724915,0.9999355673789978,0.5077998042106628,0.11105886846780777,-0.5650388598442078,0.9999757409095764,0.4813654124736786,0.1097630113363266,-0.20041461288928986,0.9999121427536011,0.4479992687702179,0.14206159114837646,-0.4174630343914032,0.9999732375144958,0.43294021487236023,0.14164456725120544,-0.314205139875412,0.9999397397041321,0.5902273058891296,0.20833757519721985,-0.7060332298278809,0.9999865293502808,0.5419955253601074,0.21707630157470703,0.11924409121274948,0.9994135499000549,0.5620203018188477,0.36487147212028503,-0.7234631180763245,0.9967384338378906,0.511221170425415,0.36598318815231323,0.2580356299877167,0.12194295972585678,0.5083159804344177,0.5080764889717102,-0.6379180550575256,0.9887030720710754,0.4680749773979187,0.48579150438308716,0.1977548599243164,0.12188494950532913,0.5181285738945007,0.5454398989677429,-0.7065162062644958,0.9752776026725769,0.46101486682891846,0.5242219567298889,0.21068131923675537,0.11624803394079208,0.498746782541275,0.5455735921859741,-0.7090998888015747,0.9736572504043579,0.4646720588207245,0.5237968564033508,0.12977148592472076,0.1176765114068985,0.4931705594062805,0.5320336222648621,-0.6299075484275818,0.9648130536079407,0.46801841259002686,0.511205792427063,0.1620081514120102,0.12577804923057556,0.5383259057998657,0.47539448738098145,-0.2317187488079071,0.9994133710861206,0.5043933391571045,0.47699546813964844,0.23128852248191833,0.9980956315994263,0.5284094214439392,0.6569251418113708,-0.12876933813095093,0.8953158855438232,0.47949421405792236,0.6468462347984314,0.3280917704105377,0.3283151686191559,0.5270359516143799,0.8433465957641602,0.043223410844802856,0.877328634262085,0.49502190947532654,0.8214111328125,0.5238428711891174,0.40217962861061096,0.5774252414703369,0.8714219927787781,0.045785631984472275,0.899964451789856,0.547950804233551,0.8522138595581055,0.5342010259628296,0.5048526525497437,0.40592554211616516,0.8819221258163452,-0.20734329521656036,0.8659037351608276,0.39936500787734985,0.8546735644340515,0.3966735303401947,0.5779147744178772
6,0.42096516489982605,0.12431572377681732,-0.39205029606819153,0.999964714050293,0.44512540102005005,0.10560081154108047,-0.4466230273246765,0.9999573230743408,0.4537682831287384,0.10533373057842255,-0.44668400287628174,0.999962329864502,0.46292644739151,0.10517128556966782,-0.4467977285385132,0.9999714493751526,0.43482691049575806,0.10577833652496338,-0.36893320083618164,0.9999392628669739,0.4352135956287384,0.10537848621606827,-0.3689107596874237,0.9999272227287292,0.4358231723308563,0.10501308739185333,-0.36890271306037903,0.9999356269836426,0.5078781843185425,0.11118008196353912,-0.5696500539779663,0.9999756813049316,0.48147323727607727,0.10993991047143936,-0.2003585249185562,0.9999107718467712,0.448108971118927,0.14211714267730713,-0.416192889213562,0.9999731183052063,0.4330352246761322,0.14183339476585388,-0.313731849193573,0.9999393224716187,0.5928260087966919,0.20829740166664124,-0.718878448009491,0.9999874234199524,0.5416925549507141,0.21703572571277618,0.11853060126304626,0.9994198083877563,0.5642020106315613,0.36508238315582275,-0.736903190612793,0.9968194961547852,0.5126458406448364,0.36610108613967896,0.2548648715019226,0.12001565843820572,0.5133840441703796,0.5078940391540527,-0.6499053239822388,0.9891912937164307,0.4693267345428467,0.4862472414970398,0.19311639666557312,0.12287922948598862,0.5221129059791565,0.5454937219619751,-0.7213205695152283,0.976205587387085,0.46114689111709595,0.5244280695915222,0.20542718470096588,0.1175852045416832,0.5012927055358887,0.5450121164321899,-0.7231869101524353,0.9746941328048706,0.46486514806747437,0.5245640873908997,0.1260126680135727,0.11923588812351227,0.4956325590610504,0.5313074588775635,-0.6421109437942505,0.9658821225166321,0.4697970449924469,0.5116606950759888,0.15776921808719635,0.12717391550540924,0.5401628017425537,0.4757406711578369,-0.23420283198356628,0.9994085431098938,0.505174994468689,0.4770273268222809,0.23370787501335144,0.9980950951576233,0.5245614051818848,0.6581767797470093,-0.12383418530225754,0.8970043659210205,0.48463302850723267,0.6475070714950562,0.33112645149230957,0.34155401587486267,0.5285121202468872,0.8431366086006165,0.0474393405020237,0.8850774765014648,0.501595139503479,0.8208495378494263,0.5306830406188965,0.42090851068496704,0.5768555998802185,0.8710280656814575,0.04969826713204384,0.9022300243377686,0.5594834089279175,0.8521609306335449,0.5411100387573242,0.5139217376708984,0.405733197927475,0.8820304870605469,-0.1970236450433731,0.8749030232429504,0.40141648054122925,0.8526376485824585,0.4003479778766632,0.5965003967285156
7,0.4210623800754547,0.124289870262146,-0.3741997480392456,0.9999642968177795,0.44518792629241943,0.10560552775859833,-0.4311530590057373,0.9999567866325378,0.45384517312049866,0.10534247010946274,-0.43117642402648926,0.9999619126319885,0.46301600337028503,0.10518734157085419,-0.43123704195022583,0.9999710917472839,0.43483513593673706,0.10578514635562897,-0.35146376490592957,0.9999380707740784,0.4352162182331085,0.10538811981678009,-0.3514421284198761,0.9999256134033203,0.4358411133289337,0.10502494871616364,-0.35143235325813293,0.999934196472168,0.507922351360321,0.11129458248615265,-0.5580106377601624,0.9999748468399048,0.48162320256233215,0.11003811657428741,-0.1937914341688156,0.9999072551727295,0.4481804370880127,0.1421051174402237,-0.40347087383270264,0.999971866607666,0.43307727575302124,0.14182770252227783,-0.30022352933883667,0.9999367594718933,0.5928246974945068,0.20819540321826935,-0.7098285555839539,0.9999879598617554,0.5426979064941406,0.2169153392314911,0.1144496500492096,0.9994114637374878,0.564975917339325,0.3647710382938385,-0.7292444705963135,0.9968470335006714,0.517281711101532,0.36611565947532654,0.25220346450805664,0.11694994568824768,0.5135343670845032,0.5070749521255493,-0.6332353353500366,0.9894380569458008,0.4719061255455017,0.48656201362609863,0.19004932045936584,0.12142175436019897,0.5221050381660461,0.5444955825805664,-0.7033454179763794,0.976607620716095,0.46584340929985046,0.5253379344940186,0.20222508907318115,0.11671381443738937,0.5012837052345276,0.543907880783081,-0.7044631242752075,0.9751594662666321,0.4657725393772125,0.524121105670929,0.12235020846128464,0.11842759698629379,0.49564722180366516,0.5300586223602295,-0.6251217722892761,0.9662711024284363,0.4717060923576355,0.5117847919464111,0.15467381477355957,0.1262093037366867,0.5389053821563721,0.4757012724876404,-0.23368141055107117,0.9993828535079956,0.5061997175216675,0.47687387466430664,0.23323017358779907,0.9980335235595703,0.5239494442939758,0.6585383415222168,-0.1050158217549324,0.8932786583900452,0.4924498200416565,0.6474401354789734,0.33131143450737,0.33960843086242676,0.5256707072257996,0.8429123163223267,0.07196446508169174,0.8874800801277161,0.5063046813011169,0.8196102976799011,0.5340184569358826,0.4191995859146118,0.5748660564422607,0.8705631494522095,0.07575802505016327,0.9018419981002808,0.5633067488670349,0.8516520261764526,0.5444303750991821,0.5104069113731384,0.4053881764411926,0.8807204365730286,-0.1518908590078354,0.8788865804672241,0.4050582945346832,0.8507058024406433,0.40415844321250916,0.5979161262512207
8,0.421142041683197,0.12433026731014252,-0.35639530420303345,0.9999634027481079,0.44521060585975647,0.10563329607248306,-0.41659173369407654,0.9999557137489319,0.4538783133029938,0.10537338256835938,-0.41655081510543823,0.9999608993530273,0.46306541562080383,0.1052326112985611,-0.41658249497413635,0.9999701380729675,0.4350059926509857,0.10580988228321075,-0.3350493609905243,0.9999361038208008,0.4355142414569855,0.10540588200092316,-0.33503037691116333,0.9999234676361084,0.43633580207824707,0.10503961890935898,-0.3350912630558014,0.9999327063560486,0.5079456567764282,0.11136125028133392,-0.5573229193687439,0.9999731183052063,0.482634574174881,0.11006609350442886,-0.1924210488796234,0.9999046325683594,0.44823646545410156,0.14218537509441376,-0.3936665952205658,0.9999699592590332,0.4333046078681946,0.14190778136253357,-0.28933078050613403,0.9999340176582336,0.5926446318626404,0.20819935202598572,-0.7077456116676331,0.9999880790710449,0.546492874622345,0.2167329341173172,0.10544300079345703,0.9994121789932251,0.5651124119758606,0.36596840620040894,-0.7220672369003296,0.996799647808075,0.5237728357315063,0.36639848351478577,0.24310925602912903,0.11330243945121765,0.5136125087738037,0.5077298879623413,-0.6270335912704468,0.9893386363983154,0.48639971017837524,0.48714199662208557,0.18929992616176605,0.11790045350790024,0.5218736529350281,0.545050859451294,-0.6918409466743469,0.9763189554214478,0.4831477999687195,0.527019739151001,0.20433974266052246,0.11388084292411804,0.5013301372528076,0.5441301465034485,-0.6885384321212769,0.9748950004577637,0.484277606010437,0.5258755683898926,0.12531043589115143,0.115522101521492,0.4959421753883362,0.53012615442276,-0.6176673173904419,0.965735673904419,0.48496127128601074,0.5121233463287354,0.1550818681716919,0.1231013685464859,0.5367879867553711,0.475747287273407,-0.23351489007472992,0.9993547201156616,0.5137125849723816,0.47675618529319763,0.23303820192813873,0.9980060458183289,0.5224310159683228,0.6588504314422607,-0.10389886796474457,0.8945518136024475,0.5075334310531616,0.6473031044006348,0.3314889967441559,0.33883124589920044,0.5253361463546753,0.8427684903144836,0.07195322960615158,0.8908683061599731,0.5237146019935608,0.8198484182357788,0.5404921770095825,0.42183810472488403,0.5739607214927673,0.8706250190734863,0.07643641531467438,0.9044928550720215,0.5731576085090637,0.8517882227897644,0.5528461933135986,0.5130680203437805,0.4050563871860504,0.8802393078804016,-0.1351054459810257,0.8833649754524231,0.4130358099937439,0.8495577573776245,0.41849085688591003,0.6026245951652527
9,0.42118456959724426,0.12431523948907852,-0.3557022511959076,0.9999632239341736,0.4453284740447998,0.1056380420923233,-0.4151429831981659,0.9999555349349976,0.45406287908554077,0.10538673400878906,-0.41511115431785583,0.9999607801437378,0.463284969329834,0.10525773465633392,-0.41514214873313904,0.999970018863678,0.43510517477989197,0.10580980777740479,-0.3337055444717407,0.9999353289604187,0.4356233775615692,0.10540614277124405,-0.33368855714797974,0.9999225735664368,0.4364762604236603,0.10503995418548584,-0.3337394595146179,0.9999321103096008,0.5081294775009155,0.11141739040613174,-0.5556695461273193,0.9999723434448242,0.4829775393009186,0.11011060327291489,-0.19212186336517334,0.9999027848243713,0.44827884435653687,0.14219094812870026,-0.39287349581718445,0.999968945980072,0.4334478974342346,0.1419200748205185,-0.2888396382331848,0.9999321699142456,0.5935759544372559,0.2079775333404541,-0.7006938457489014,0.9999885559082031,0.5462934970855713,0.21671214699745178,0.09877829253673553,0.9994117617607117,0.5678809285163879,0.36591637134552,-0.716840386390686,0.9967522025108337,0.5260723829269409,0.36637336015701294,0.23808003962039948,0.11124560981988907,0.5150957107543945,0.5077430605888367,-0.6211948394775391,0.9893576502799988,0.4875447452068329,0.4870457053184509,0.18790757656097412,0.11674242466688156,0.5218952894210815,0.5446404218673706,-0.6874598860740662,0.9763352274894714,0.48349660634994507,0.5266374349594116,0.20222608745098114,0.11338010430335999,0.5023372769355774,0.5438517332077026,-0.6851812601089478,0.9749431014060974,0.4834204912185669,0.5250309705734253,0.12283890694379807,0.11500439047813416,0.49774670600891113,0.5299288630485535,-0.6122701168060303,0.9656068682670593,0.4846503436565399,0.5105668306350708,0.1534455567598343,0.12250690907239914,0.5396164655685425,0.47574034333229065,-0.23202700912952423,0.9993481636047363,0.5180188417434692,0.47668108344078064,0.2315337061882019,0.9979836344718933,0.5204496383666992,0.6587446331977844,-0.10541404783725739,0.8908340930938721,0.5122023820877075,0.6458326578140259,0.3265599310398102,0.33627408742904663,0.5262388586997986,0.8413529396057129,0.06290833652019501,0.8928865790367126,0.534466028213501,0.8188641667366028,0.5303547978401184,0.41931477189064026,0.5750942826271057,0.8702886700630188,0.06650221347808838,0.9049103260040283,0.5824355483055115,0.8502197265625,0.5429967045783997,0.5100405216217041,0.4117034077644348,0.8793261647224426,-0.13645118474960327,0.8867114782333374,0.4332239031791687,0.8465895652770996,0.41564857959747314,0.6029712557792664
